49.07宿木	OH_OO渋谷源氏	3930	3950	I	めり	めり	メリ	助動詞	文語助動詞-メリ	連用形-一般	メリ	和
49.07宿木	OH_OO渋谷源氏	3950	3960	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
49.07宿木	OH_OO渋谷源氏	3960	3970	I	も	も	モ	助詞-係助詞			モ	和
49.07宿木	OH_OO渋谷源氏	3970	4000	I	しるき	著い	シルイ	形容詞-一般	文語形容詞-ク	連体形-一般	シルキ	和
49.07宿木	OH_OO渋谷源氏	4000	4010	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
49.07宿木	OH_OO渋谷源氏	4010	4020	I	の	の	ノ	助詞-格助詞			ノ	和
49.07宿木	OH_OO渋谷源氏	4020	4030	I	中	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
49.07宿木	OH_OO渋谷源氏	4030	4040	I	の	の	ノ	助詞-格助詞			ノ	和
49.07宿木	OH_OO渋谷源氏	4040	4050	I	御	御	オオン	接頭辞			オオン	和
49.07宿木	OH_OO渋谷源氏	4050	4090	I	ありさま	有り様	アリサマ	名詞-普通名詞-一般			アリサマ	和
49.07宿木	OH_OO渋谷源氏	4090	4100	I	を	を	ヲ	助詞-格助詞			オ	和
49.07宿木	OH_OO渋谷源氏	4100	4110	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	4110	4140	I	ほのか	仄か	ホノカ	形状詞-一般			ホノカ	和
49.07宿木	OH_OO渋谷源氏	4140	4150	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
49.07宿木	OH_OO渋谷源氏	4150	4170	I	承る	承る	ウケタマワル	動詞-一般	文語四段-ラ行	連体形-一般	ウケタマワル	和
49.07宿木	OH_OO渋谷源氏	4170	4180	I	も	も	モ	助詞-係助詞			モ	和
49.07宿木	OH_OO渋谷源氏	4180	4190	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	4190	4230	I	さまざま	様々	サマザマ	形状詞-一般			サマザマ	和
49.07宿木	OH_OO渋谷源氏	4230	4240	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
49.07宿木	OH_OO渋谷源氏	4240	4260	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
49.07宿木	OH_OO渋谷源氏	4260	4270	I	」	」		補助記号-括弧閉				記号
